Name,Comment,Class,Date,Time,Duration,Reference,Pass/Fail,Grade,GPS,Additional Information,H,+/-,He,+/-,Li,+/-,Be,+/-,B,+/-,C,+/-,N,+/-,O,+/-,F,+/-,Ne,+/-,Na,+/-,Mg,+/-,Al,+/-,Si,+/-,P,+/-,S,+/-,Cl,+/-,Ar,+/-,K,+/-,Ca,+/-,Sc,+/-,Ti,+/-,V,+/-,Cr,+/-,Mn,+/-,Fe,+/-,Co,+/-,Ni,+/-,Cu,+/-,Zn,+/-,Ga,+/-,Ge,+/-,As,+/-,Se,+/-,Br,+/-,Kr,+/-,Rb,+/-,Sr,+/-,Y,+/-,Zr,+/-,Nb,+/-,Mo,+/-,Tc,+/-,Ru,+/-,Rh,+/-,Pd,+/-,Ag,+/-,Cd,+/-,In,+/-,Sn,+/-,Sb,+/-,Te,+/-,I,+/-,Xe,+/-,Cs,+/-,Ba,+/-,La,+/-,Ce,+/-,Pr,+/-,Nd,+/-,Pm,+/-,Sm,+/-,Eu,+/-,Gd,+/-,Tb,+/-,Dy,+/-,Ho,+/-,Er,+/-,Tm,+/-,Yb,+/-,Lu,+/-,Hf,+/-,Ta,+/-,W,+/-,Re,+/-,Os,+/-,Ir,+/-,Pt,+/-,Au,+/-,Hg,+/-,Tl,+/-,Pb,+/-,Bi,+/-,Po,+/-,At,+/-,Rn,+/-,Fr,+/-,Ra,+/-,Ac,+/-,Th,+/-,Pa,+/-,U,+/-,Np,+/-,Pu,+/-,Am,+/-,Cm,+/-,Bk,+/-,Cf,+/-,Es,+/-,Fm,+/-,Md,+/-,No,+/-,Lr,+/-,d1,+/-,d2,+/-,d3,+/-,d4,+/-,d5,+/-,d6,+/-,BS,+/-,UN,+/-
A01.1,,Mining_MidS_FP,1.1.2011,12:06:53,30.5000,,,Al-380(0.4616) Al-6262(0.9141) Al-5056(0.9551),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0062,0.0777,,,,,0.1509,0.0140,,,,,0.0317,0.0024,2.9231,0.0133,,,0.0041,0.0007,0.0232,0.0008,0.0377,0.0008,,,,,1.0188,0.0027,,,,,,,0.0083,0.0003,0.0029,0.0002,,,0.0119,0.0003,0.0013,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01.1,,Mining_MidS_FP,1.1.2011,12:07:34,30.5000,,,Al-380(1.5326) Al-6262(1.7145) Al-5056(1.7639),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9816,0.1000,,,,,0.2747,0.0181,,,,,0.0487,0.0034,5.0652,0.0178,,,0.0077,0.0010,0.0436,0.0012,0.0775,0.0013,,,,,2.1698,0.0043,0.0014,0.0003,,,,,0.0190,0.0004,0.0072,0.0004,0.0022,0.0004,0.0256,0.0005,0.0017,0.0004,,,,,,,,,,,,,,,,,0.0088,0.0028,0.0151,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0133,0.0016,,,,,,,,,,,0.0034,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01.1,,Mining_MidS_FP,1.1.2011,12:08:27,30.5010,,,Al-380(1.5741) Al-6262(1.7461) Al-5056(1.7950),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1651,0.0949,0.1629,0.0346,,,0.2787,0.0180,,,0.0149,0.0039,0.0609,0.0034,5.1482,0.0179,,,0.0089,0.0010,0.0451,0.0012,0.0779,0.0013,,,,,2.1675,0.0043,,,,,,,0.0187,0.0004,0.0073,0.0004,0.0020,0.0004,0.0282,0.0005,0.0018,0.0004,0.0017,0.0005,,,,,,,,,,,,,,,0.0089,0.0028,0.0154,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0102,0.0016,,,,,,,,,,,0.0029,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01.1,,Mining_Sn_FP,1.1.2011,12:09:47,30.5000,,,Al-380(0.2277) AA-1100(0.7301) Al-6262(0.7561),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1082,0.0116,,,,,0.0254,0.0021,2.4553,0.0111,,,0.0036,0.0005,0.0199,0.0007,0.0352,0.0007,,,,,0.9400,0.0024,,,,,,,0.0078,0.0002,0.0029,0.0002,,,0.0127,0.0003,,,,,,,,,,,,,,,,,,,0.0052,0.0016,0.0121,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0063,0.0009,,,,,,,,,,,0.0021,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01.1,,Mining_MidS_FP,1.1.2011,12:10:46,30.5000,,,Al-380(1.5155) Al-6262(1.6882) Al-5056(1.7506),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8418,0.0996,,,,,0.2419,0.0174,,,0.0200,0.0040,0.0507,0.0033,5.0311,0.0177,,,0.0084,0.0009,0.0458,0.0012,0.0792,0.0013,,,,,2.1233,0.0042,0.0025,0.0003,,,,,0.0183,0.0004,0.0068,0.0004,0.0016,0.0004,0.0253,0.0005,0.0013,0.0004,,,,,,,,,,,,,,,,,0.0125,0.0027,0.0188,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140,0.0016,,,,,,,,,,,0.0060,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01.1,Average,Mining Mode,1.1.2011,12:10:46,30.5000,,,Al-380(0.8988) Al-6262(1.1599) Al-5056(1.1918),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3989,0.8042,0.0326,0.0652,,,0.2109,0.0690,,,0.0070,0.0087,0.0435,0.0130,4.1246,1.1819,,,0.0066,0.0023,0.0355,0.0115,0.0615,0.0205,,,,,1.6839,0.5760,0.0008,0.0010,,,,,0.0144,0.0052,0.0054,0.0021,0.0011,0.0010,0.0207,0.0069,0.0012,0.0006,0.0003,0.0007,,,,,,,,,,,,,,,0.0071,0.0042,0.0123,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100,0.0033,,,,,,,,,,,0.0029,0.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02.3,,Mining_MidS_FP,1.1.2011,12:12:55,30.5010,,,Al-380(1.6555) Al-6262(1.7929) Al-5056(1.8563),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1550,0.0984,0.1169,0.0361,,,0.2488,0.0178,,,0.0232,0.0039,0.0624,0.0033,5.3109,0.0182,,,0.0079,0.0010,0.0482,0.0013,0.0857,0.0013,,,,,2.1387,0.0043,0.0016,0.0003,,,,,0.0192,0.0004,0.0067,0.0004,0.0026,0.0004,0.0250,0.0005,0.0021,0.0004,,,,,,,,,,,,,,,,,,,0.0155,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0143,0.0017,,,,,,,,,,,0.0056,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02.3,,Mining_MidS_FP,1.1.2011,12:13:44,30.5000,,,Al-380(1.3117) Al-5056(1.5970) Al-5005(1.7546),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1671,0.0889,,,,,3.2508,0.0377,,,,,0.0467,0.0031,4.6234,0.0174,,,0.0075,0.0009,0.0431,0.0012,0.0676,0.0012,,,,,1.9665,0.0041,0.0016,0.0003,,,,,0.0167,0.0004,0.0068,0.0004,0.0017,0.0004,0.0225,0.0005,0.0020,0.0004,0.0021,0.0005,,,,,,,,,,,,,,,0.0137,0.0027,0.0162,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0143,0.0015,,,,,,,,,,,0.0039,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02.3,,Mining_MidS_FP,1.1.2011,12:14:52,30.5010,,,Al-380(1.5264) Al-6262(1.6960) Al-5056(1.7589),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6825,0.0995,,,,,0.2404,0.0175,,,0.0158,0.0038,0.0601,0.0033,5.0527,0.0177,,,0.0094,0.0009,0.0436,0.0012,0.0750,0.0013,,,,,2.1003,0.0042,0.0011,0.0003,,,,,0.0199,0.0004,0.0067,0.0004,0.0014,0.0004,0.0252,0.0005,0.0018,0.0004,,,,,,,,,,,,,,,,,0.0092,0.0027,0.0182,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140,0.0016,,,,,,,,,,,0.0028,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02.3,,Mining_MidS_FP,1.1.2011,12:16:40,30.5010,,,Al-380(1.4432) Al-6262(1.6637) Al-5056(1.6960),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7899,0.0934,0.1098,0.0350,,,0.3015,0.0181,,,0.0135,0.0037,0.0603,0.0032,4.8863,0.0174,,,0.0100,0.0009,0.0425,0.0012,0.0731,0.0012,,,,,1.9391,0.0040,,,,,,,0.0175,0.0004,0.0062,0.0003,0.0022,0.0003,0.0239,0.0005,0.0018,0.0004,0.0028,0.0005,,,,,,,,,,,,,,,,,0.0119,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
